year,season,crop,cultivated_area_ha,harvested_area_ha,production_mt,yield_mt_ha,source
2024,B,Taro &Yams,16725.46,15333.784779899997,112370.47617896089,7.328293555173645,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Banana,238119.15,93802.84953102306,1166246.6799280932,12.432955776491468,NISR SAS 2025 Season B Table 6
2024,B,Banana,258564.36000000002,92501.41669206406,1142552.1012892856,12.35172543457173,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Cooking banana,85220.6,30603.601951895598,527108.8854627548,17.223753148119396,NISR SAS 2025 Season B Table 6
2024,B,Cooking banana,90123.38,30323.2643644488,515798.0931370734,17.009979101781617,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Dessert banana,35831.65,13745.82378860509,154315.48866381534,11.226354348565026,NISR SAS 2025 Season B Table 6
2024,B,Dessert banana,48808.88,13441.519680997264,152891.16470300706,11.374544570221069,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Banana for beer,117066.9,49453.42379052238,484822.3058015232,9.803614565801572,NISR SAS 2025 Season B Table 6
2024,B,Banana for beer,119632.1,48736.632646618,473862.8434492051,9.722929503257095,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Legumes and Pulses,399096.031,399029.8707353,269441.3472083177,,NISR SAS 2025 Season B Table 6
2024,B,Legumes and Pulses,398503.439215,398186.9667463,272979.32985642884,,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Beans,335051.7,334987.58792900003,240720.6245832633,0.7185956532642743,NISR SAS 2025 Season B Table 6
2024,B,Beans,329111.7,328858.2302168,242238.73758198015,0.7366053676755607,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Bush bean,211973.7,211932.48875400002,132612.2932796641,0.625728948210453,NISR SAS 2025 Season B Table 6
2024,B,Bush bean,207112.2,206871.11097639997,134865.88465614966,0.6519319397454933,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Climbing bean,123078,123055.09917500001,108108.33130359923,0.8785359731404176,NISR SAS 2025 Season B Table 6
2024,B,Climbing bean,121999.5,121987.1192404,107372.85292583049,0.8801982831829221,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Pea,8088.941,8087.011749700001,4585.801190894167,0.5670575649978848,NISR SAS 2025 Season B Table 6
2024,B,Pea,8247.943,8244.6549155,4627.651122389998,0.5612910630971331,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Groundnut,17804.105361,17804.105361,7746.527246042963,0.43509780968898204,NISR SAS 2025 Season B Table 6
2024,B,Groundnut,21085.24,21085.5678705,9062.073418062782,0.4297761138670198,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Soybean,38152.24,38151.16569560001,16388.39418811726,0.42956470370726685,NISR SAS 2025 Season B Table 6
2024,B,Soybean,40058.556215000004,39998.51374350001,17050.8677339959,0.4262875326653047,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Vegetables and Fruits,32644.28416905481,25246.670280525017,211069.30694758933,,NISR SAS 2025 Season B Table 6
2024,B,Vegetables and Fruits,30624.05292471627,25188.134513951365,204768.0553158842,,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Vegetables,20699.34155,19674.250847799995,181271.58421383865,9.213646080664297,NISR SAS 2025 Season B Table 6
2024,B,Vegetables,20160.817851,19842.4249213,177548.88023893922,8.947942650313271,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Fruits,11944.942619054806,5572.419432725015,29797.7227337507,5.34735819754671,NISR SAS 2025 Season B Table 6
2024,B,Fruits,10463.235073716269,5345.7095926513675,27219.175076944986,5.091779604781113,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Fodder crops,9992.764902,9548.231377700002,111565.80997310732,11.684447680401888,NISR SAS 2025 Season B Table 6
2024,B,Fodder crops,10331.34,9674.155852099999,107654.35399097978,11.128035937896424,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Other crops,66373.46765,30538.550856073092,120602.50601830141,3.949188898539946,NISR SAS 2025 Season B Table 6
2024,B,Other crops,58639.12,27507.505257300727,117266.53173725418,4.263074046168932,NISR SAS 2025 Season B Table 6 (2024B comparator)
2026,A,Cereals,309890,309484,616894,,NISR SAS 2026 Season A Final Report - Table 6
